1797572,Märzen,"Naturradler Zitrone alkoholfrei oder Naturgold alkoholfrei 0,33 Liter",0.77,SPAR,2024-04-10T22:00:00Z - 2024-04-17T21:59:00Z
1792180,Märzen,"Naturradler Zitrone oder Naturgold alkoholfrei 0,33 Liter",0.77,SPAR,2024-04-03T22:00:00Z - 2024-04-17T21:59:00Z
1792093,Märzen,"Naturradler Zitrone oder Naturradler Zitrone alkoholfrei 0,0% 0,5-Liter-EINWEG-Dose",0.77,INTERSPAR,2024-04-03T22:00:00Z - 2024-04-17T21:59:00Z
1791880,Märzen,"Naturradler Zitrone oder Naturradler Zitrone alkoholfrei 0,0% 0,5 Liter",0.77,EUROSPAR,2024-04-03T22:00:00Z - 2024-04-17T21:59:00Z
1799409,Märzen,"oder NaturRadler Zitrone Maximale Abgabemenge: 120 Dosen 0,5 Liter. Nur gültig mit Lidl Plus App Preis 0.72",0.79,Lidl,2024-04-10T22:00:00Z - 2024-04-13T21:59:59Z
1800401,Märzen,"5,2 % Vol. 0,5 l",0.74,HOFER,2024-04-11T22:00:00Z - 2024-04-13T21:59:59Z
1800394,Märzen,"Preise exkl. Pfand 5,2 % Vol., 20 x 0,5 l",14.8,HOFER,2024-04-11T22:00:00Z - 2024-04-13T21:59:59Z
1797389,Märzen,"0,5 Liter, auch im 6er-Träger, 1 Kiste = 20 Flaschen",14.8,BILLA,2024-04-10T22:00:00Z - 2024-04-17T21:59:00Z
1797271,Märzen,"Helles, Radler Zitrone, Extrafrisch od. 0,0 % Zitrone 0,33 Liter Einweg",0.66,BILLA,2024-04-10T22:00:00Z - 2024-04-17T21:59:00Z
1797250,Bio Stoff,"0,33 Liter, 1 Kiste = 12 Flaschen",11.88,BILLA,2024-04-10T22:00:00Z - 2024-04-17T21:59:00Z
1797052,Märzen,"Helles, Naturradler div. Sorten od. Naturgold 0,33 Liter Einweg",0.66,BILLA PLUS,2024-04-10T22:00:00Z - 2024-04-17T21:59:00Z
1797050,Märzen,"0,5 Liter, auch im 6er-Träger, 1 Kiste = 20 Flaschen",14.8,BILLA PLUS,2024-04-10T22:00:00Z - 2024-04-17T21:59:00Z
